安监员
安装工
办事员
采样
茶炉工
成本员
电工
电焊工
调度员
动力工
化验
机电安装工
集控
技术员
库管员
煤质采样
门卫
木工
配电工
皮带工
钳工
售煤
司机
跳汰司机
铁工
推土机司机
维护工
武保
压风机司机
杂工
装车工
